Title,Authors,Source Title,Publication Date,Publication Year,Volume,Issue,Beginning Page,Ending Page,Article Number,DOI,Total Citations,Average per Year,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,ave_3,ave_5
Three-dimensional quantum photonic elements based on single nitrogen vacancy-centres in laser-written microstructures,"Schell, Andreas W.; Kaschke, Johannes; Fischer, Joachim; Henze, Rico; Wolters, Janik; Wegener, Martin; Benson, Oliver",SCIENTIFIC REPORTS,APR 2 2013,2013,3,,,,1577,10.1038/srep01577,79,7.18,0,0,0,0,0,17,11,9,7,7,9,11,7,1,0,9.333333333,8.8
High mobility group box 1 released from necrotic cells enhances regrowth and metastasis of cancer cells that have survived chemotherapy,"Luo, Yi; Chihara, Yoshitomo; Fujimoto, Kiyohide; Sasahira, Tomonori; Kuwada, Masaomi; Fujiwara, Rina; Fujii, Kiyomu; Ohmori, Hitoshi; Kuniyasu, Hiroki",EUROPEAN JOURNAL OF CANCER,13-Feb,2013,49,3,741,751,,10.1016/j.ejca.2012.09.016,76,6.91,0,0,0,0,11,8,6,6,9,7,8,9,3,8,1,8.333333333,8
Risk of subsequent biliary malignancy in patients undergoing cyst excision for congenital choledochal cysts,"Ohashi, Taku; Wakai, Toshifumi; Kubota, Masayuki; Matsuda, Yasunobu; Arai, Yuhki; Ohyama, Toshiyuki; Nakaya, Kengo; Okuyama, Naoki; Sakata, Jun; Shirai, Yoshio; Ajioka, Yoichi",JOURNAL OF GASTROENTEROLOGY AND HEPATOLOGY,13-Feb,2013,28,2,243,247,,10.1111/j.1440-1746.2012.07260.x,66,6,0,0,0,0,2,6,5,8,9,5,10,11,5,5,0,4.333333333,6
Risk factors for severe nonsteroidal anti-inflammatory drug-induced small intestinal damage,"Watanabe, Toshio; Tanigawa, Tetsuya; Nadatani, Yuji; Nagami, Yasuaki; Sugimori, Satoshi; Okazaki, Hirotoshi; Yamagami, Hirokazu; Watanabe, Kenji; Tominaga, Kazunari; Fujiwara, Yasuhiro; Koike, Tatsuya; Arakawa, Tetsuo",DIGESTIVE AND LIVER DISEASE,13-May,2013,45,5,390,395,,10.1016/j.dld.2012.12.005,65,5.91,0,0,0,0,2,7,8,9,8,7,5,7,9,3,0,5.666666667,6.8
Evaluating the Connectivity of a Protected Areas' Network under the Prism of Global Change: The Efficiency of the European Natura 2000 Network for Four Birds of Prey,"Mazaris, Antonios D.; Papanikolaou, Alexandra D.; Barbet-Massin, Morgane; Kallimanis, Athanasios S.; Jiguet, Frederic; Schmeller, Dirk S.; Pantis, John D.",PLOS ONE,MAR 19 2013,2013,8,3,,,e59640,10.1371/journal.pone.0059640,64,5.82,0,0,0,0,0,4,3,10,14,9,8,7,5,4,0,2.333333333,6.2
Ondansetron can enhance cisplatin-induced nephrotoxicity via inhibition of multiple toxin and extrusion proteins (MATEs),"Li, Qing; Guo, Dong; Dong, Zhongqi; Zhang, Wei; Zhang, Lei; Huang, Shiew-Mei; Polli, James E.; Shu, Yan",TOXICOLOGY AND APPLIED PHARMACOLOGY,NOV 15 2013,2013,273,1,100,109,,10.1016/j.taap.2013.08.024,60,5.45,0,0,0,0,0,3,3,13,4,8,4,4,12,8,1,2,4.6
The Chloroplast ATP Synthase Features the Characteristic Redox Regulation Machinery,"Hisabori, Toru; Sunamura, Ei-Ichiro; Kim, Yusung; Konno, Hiroki",ANTIOXIDANTS & REDOX SIGNALING,13-Nov,2013,19,15,1846,U216,,10.1089/ars.2012.5044,58,5.27,0,0,0,0,0,3,3,8,4,6,6,11,9,8,0,2,3.6
Leishmania expressed lipophosphoglycan interacts with Toll-like receptor (TLR)-2 to decrease TLR-9 expression and reduce anti-leishmanial responses,"Srivastava, S.; Pandey, S. P.; Jha, M. K.; Chandel, H. S.; Saha, B.",CLINICAL AND EXPERIMENTAL IMMUNOLOGY,13-Jun,2013,172,3,403,409,,10.1111/cei.12074,57,5.18,0,0,0,0,0,8,10,3,3,7,8,6,5,7,0,6,4.8
"Study protocol to examine the effects of spaceflight and a spaceflight analog on neurocognitive performance: extent, longevity, and neural bases","Koppelmans, Vincent; Erdeniz, Burak; De Dios, Yiri E.; Wood, Scott J.; Reuter-Lorenz, Patricia A.; Kofman, Igor; Bloomberg, Jacob J.; Mulavara, Ajitkumar P.; Seidler, Rachael D.",BMC NEUROLOGY,DEC 18 2013,2013,13,,,,205,10.1186/1471-2377-13-205,56,5.09,0,0,0,0,0,0,6,7,6,9,4,5,12,7,0,2,3.8
"Clinical features of a new disease concept, IgG4-related thyroiditis","Watanabe, T.; Maruyama, M.; Ito, T.; Fujinaga, Y.; Ozaki, Y.; Maruyama, M.; Kodama, R.; Muraki, T.; Hamano, H.; Arakura, N.; Kadoya, M.; Suzuki, S.; Komatsu, M.; Shimojo, H.; Notohara, K.; Uchida, M.; Kawa, S.",SCANDINAVIAN JOURNAL OF RHEUMATOLOGY,2013,2013,42,4,325,330,,10.3109/03009742.2012.761281,56,5.09,0,0,0,0,2,15,7,5,5,5,4,6,2,5,0,8,6.8
Structural Basis for the Counter-Transport Mechanism of a H+/Ca2+ Exchanger,"Nishizawa, Tomohiro; Kita, Satomi; Maturana, Andres D.; Furuya, Noritaka; Hirata, Kunio; Kasuya, Go; Ogasawara, Satoshi; Dohmae, Naoshi; Iwamoto, Takahiro; Ishitani, Ryuichiro; Nureki, Osamu",SCIENCE,JUL 12 2013,2013,341,6142,168,172,,10.1126/science.1239002,55,5,0,0,0,0,0,10,5,12,5,6,6,5,3,2,1,5,6.4
Real-time observation of the charge transfer to solvent dynamics,"Messina, Fabrizio; Braem, Olivier; Cannizzo, Andrea; Chergui, Majed",NATURE COMMUNICATIONS,13-Jul,2013,4,,,,2119,10.1038/ncomms3119,55,5,0,0,0,0,0,4,11,4,9,6,9,5,3,2,2,5,5.6
Development of a Reverse Transcription-Quantitative PCR System for Detection and Genotyping of Aichi Viruses in Clinical and Environmental Samples,"Kitajima, Masaaki; Hata, Akihiko; Yamashita, Teruo; Haramoto, Eiji; Minagawa, Hiroko; Katayama, Hiroyuki",APPLIED AND ENVIRONMENTAL MICROBIOLOGY,13-Jul,2013,79,13,3952,3958,,10.1128/AEM.00820-13,51,4.64,0,0,0,0,0,3,2,2,9,5,9,11,3,6,1,1.666666667,3.2
Propranolol as an Alternative Treatment Option for Pediatric Lymphatic Malformation,"Ozeki, Michio; Kanda, Kaori; Kawamoto, Norio; Ohnishi, Hidenori; Fujino, Akihiro; Hirayama, Masahiro; Kato, Zenichiro; Azuma, Eiichi; Fukao, Toshiyuki; Kondo, Naomi",TOHOKU JOURNAL OF EXPERIMENTAL MEDICINE,13-Jan,2013,229,1,61,66,,10.1620/tjem.229.61,51,4.64,0,0,0,0,0,6,4,10,7,6,4,3,7,4,0,3.333333333,5.4
Effect of propranolol vs prednisolone vs propranolol with prednisolone in the management of infantile hemangioma: A randomized controlled study,"Malik, Muneer Abas; Menon, Prema; Rao, K. L. N.; Samujh, Ram",JOURNAL OF PEDIATRIC SURGERY,13-Dec,2013,48,12,2453,2459,,10.1016/j.jpedsurg.2013.08.020,50,4.55,0,0,0,0,0,1,10,11,5,5,5,5,5,3,0,3.666666667,5.4
Age-associated telomere shortening in mouse oocytes,"Yamada-Fukunaga, Tomoko; Yamada, Mitsutoshi; Hamatani, Toshio; Chikazawa, Nana; Ogawa, Seiji; Akutsu, Hidenori; Miura, Takumi; Miyado, Kenji; Tarin, Juan J.; Kuji, Naoaki; Umezawa, Akihiro; Yoshimura, Yasunori",REPRODUCTIVE BIOLOGY AND ENDOCRINOLOGY,NOV 21 2013,2013,11,,,,108,10.1186/1477-7827-11-108,50,4.55,0,0,0,0,0,3,4,2,3,4,9,12,5,8,0,2.333333333,2.4
Higher Prevalence of Epstein-Barr Virus DNA in Deeper Periodontal Pockets of Chronic Periodontitis in Japanese Patients,"Kato, Ayako; Imai, Kenichi; Ochiai, Kuniyasu; Ogata, Yorimasa",PLOS ONE,AUG 26 2013,2013,8,8,,,e71990,10.1371/journal.pone.0071990,50,4.55,0,0,0,0,1,2,6,6,5,5,4,11,6,4,0,3,4
"Neighborhood Disadvantage, Neighborhood Safety and Cardiometabolic Risk Factors in African Americans: Biosocial Associations in the Jackson Heart Study","Clark, Cheryl R.; Ommerborn, Mark J.; Hickson, DeMarc A.; Grooms, Kya N.; Sims, Mario; Taylor, Herman A.; Albert, Michelle A.",PLOS ONE,MAY 14 2013,2013,8,5,,,e63254,10.1371/journal.pone.0063254,50,4.55,0,0,0,0,1,2,4,5,3,4,7,8,10,6,0,2.333333333,3
Synthetic Bone Substitute Engineered with Amniotic Epithelial Cells Enhances Bone Regeneration after Maxillary Sinus Augmentation,"Barboni, Barbara; Mangano, Carlo; Valbonetti, Luca; Marruchella, Giuseppe; Berardinelli, Paolo; Martelli, Alessandra; Muttini, Aurelio; Mauro, Annunziata; Bedini, Rossella; Turriani, Maura; Pecci, Raffaella; Nardinocchi, Delia; Zizzari, Vincenzo Luca; Tete, Stefano; Piattelli, Adriano; Mattioli, Mauro",PLOS ONE,MAY 17 2013,2013,8,5,,,e63256,10.1371/journal.pone.0063256,49,4.45,0,0,0,0,0,4,6,7,4,10,3,5,3,6,1,3.333333333,4.2
Impact of Lesion Length on Functional Significance in Intermediate Coronary Lesions,"Iguchi, Tomokazu; Hasegawa, Takao; Nishimura, Satoshi; Nakata, Shinji; Kataoka, Toru; Ehara, Shoichi; Hanatani, Akihisa; Shimada, Kenei; Yoshiyama, Minoru",CLINICAL CARDIOLOGY,13-Mar,2013,36,3,172,177,,10.1002/clc.22076,49,4.45,0,0,0,0,3,2,9,4,6,6,7,3,4,5,0,4.666666667,4.8
Marginal survival benefit in the treatment of early hepatocellular carcinoma,"Midorikawa, Yutaka; Takayama, Tadatoshi; Shimada, Kazuaki; Nakayama, Hisashi; Higaki, Tokio; Moriguchi, Masamichi; Nara, Satoshi; Tsuji, Shingo; Tanaka, Masatoshi",JOURNAL OF HEPATOLOGY,13-Feb,2013,58,2,306,311,,10.1016/j.jhep.2012.09.026,48,4.36,0,0,0,0,3,1,6,8,5,6,5,8,4,1,1,3.333333333,4.6
An unexpectedly branched biosynthetic pathway for bacteriochlorophyll b capable of absorbing near-infrared light,"Tsukatani, Yusuke; Yamamoto, Haruki; Harada, Jiro; Yoshitomi, Taichi; Nomata, Jiro; Kasahara, Masahiro; Mizoguchi, Tadashi; Fujita, Yuichi; Tamiaki, Hitoshi",SCIENTIFIC REPORTS,FEB 5 2013,2013,3,,,,1217,10.1038/srep01217,47,4.27,0,0,0,0,4,6,9,5,1,3,6,4,2,6,1,6.333333333,5
Establishment of a serum IgG4 cut-off value for the differential diagnosis of IgG4-related sclerosing cholangitis: A Japanese cohort,"Ohara, Hirotaka; Nakazawa, Takahiro; Kawa, Shigeyuki; Kamisawa, Terumi; Shimosegawa, Tooru; Uchida, Kazushige; Hirano, Kenji; Nishino, Takayoshi; Hamano, Hideaki; Kanno, Atsushi; Notohara, Kenji; Hasebe, Osamu; Muraki, Takashi; Ishida, Etsuji; Naitoh, Itaru; Okazaki, Kazuichi",JOURNAL OF GASTROENTEROLOGY AND HEPATOLOGY,13-Jul,2013,28,7,1247,1251,,10.1111/jgh.12248,46,4.18,0,0,0,0,1,8,5,11,5,3,3,1,7,2,0,4.666666667,6
"AKR1B10, a Transcriptional Target of p53, Is Downregulated in Colorectal Cancers Associated with Poor Prognosis","Ohashi, Tomoko; Idogawa, Masashi; Sasaki, Yasushi; Suzuki, Hiromu; Tokino, Takashi",MOLECULAR CANCER RESEARCH,13-Dec,2013,11,12,1554,1563,,10.1158/1541-7786.MCR-13-0330-T,44,4,0,0,0,0,0,2,4,4,7,1,5,4,13,4,0,2,3.4
Dietary Salt Intake Regulates WNK3-SPAK-NKCC1 Phosphorylation Cascade in Mouse Aorta Through Angiotensin II,"Zeniya, Moko; Sohara, Eisei; Kita, Satomi; Iwamoto, Takahiro; Susa, Koichiro; Mori, Takayasu; Oi, Katsuyuki; Chiga, Motoko; Takahashi, Daiei; Yang, Sung-Sen; Lin, Shih-Hua; Rai, Tatemitsu; Sasaki, Sei; Uchida, Shinichi",HYPERTENSION,13-Nov,2013,62,5,872,878,,10.1161/HYPERTENSIONAHA.113.01543,44,4,0,0,0,0,0,3,7,5,8,2,4,2,9,4,0,3.333333333,4.6
Molecular characterization of hepatitis E virus ORF1 gene supports a papain-like cysteine protease (PCP)-domain activity,"Parvez, Mohammad Khalid",VIRUS RESEARCH,DEC 26 2013,2013,178,2,553,556,,10.1016/j.virusres.2013.07.020,42,3.82,0,0,0,0,0,4,4,6,3,4,3,2,6,9,1,2.666666667,3.4
MPTP-Induced Dopamine Neuron Degeneration and Glia Activation Is Potentiated in MDMA-Pretreated Mice,"Costa, Giulia; Frau, Lucia; Wardas, Jadwiga; Pinna, Annalisa; Plumitallo, Antonio; Morelli, Micaela",MOVEMENT DISORDERS,13-Dec,2013,28,14,1957,1965,,10.1002/mds.25646,42,3.82,0,0,0,0,0,4,5,8,3,4,3,5,5,4,1,3,4
Reproductive and obstetric outcomes after radical abdominal trachelectomy for early-stage cervical cancer in a series of 31 pregnancies,"Nishio, Hiroshi; Fujii, Takuma; Sugiyama, Juri; Kuji, Naoaki; Tanaka, Mamoru; Hamatani, Toshio; Miyakoshi, Kei; Minegishi, Kazuhiro; Tsuda, Hiroshi; Iwata, Takashi; Tanaka, Kyoko; Fukuchi, Takeshi; Takehara, Yuji; Yoshimura, Yasunori; Aoki, Daisuke",HUMAN REPRODUCTION,13-Jul,2013,28,7,1793,1798,,10.1093/humrep/det118,41,3.73,0,0,0,0,0,4,7,10,4,1,3,5,5,1,1,3.666666667,5
Responses of male sperm whales (Physeter macrocephalus) to killer whale sounds: implications for anti-predator strategies,"Cure, Charlotte; Antunes, Ricardo; Alves, Ana Catarina; Visser, Fleur; Kvadsheim, Petter H.; Miller, Patrick J. O.",SCIENTIFIC REPORTS,APR 2 2013,2013,3,,,,1579,10.1038/srep01579,41,3.73,0,0,0,0,0,1,6,7,4,4,4,3,8,4,0,2.333333333,3.6
Activation of human synovial mast cells from rheumatoid arthritis or osteoarthritis patients in response to aggregated IgG through Fc? receptor I and Fc? receptor II,"Lee, Hyunho; Kashiwakura, Jun-ichi; Matsuda, Akira; Watanabe, Yasuo; Sakamoto-Sasaki, Tomomi; Matsumoto, Kenji; Hashimoto, Noriko; Saito, Shu; Ohmori, Kazumitsu; Nagaoka, Masahiro; Tokuhashi, Yasuaki; Ra, Chisei; Okayama, Yoshimichi",ARTHRITIS AND RHEUMATISM,13-Jan,2013,65,1,109,119,,10.1002/art.37741,40,3.64,0,0,0,0,2,3,3,6,5,2,4,3,10,2,0,2.666666667,3.8
"Blue LED light exposure develops intracellular reactive oxygen species, lipid peroxidation, and subsequent cellular injuries in cultured bovine retinal pigment epithelial cells","Nakanishi-Ueda, T.; Majima, H. J.; Watanabe, K.; Ueda, T.; Indo, H. P.; Suenaga, S.; Hisamitsu, T.; Ozawa, T.; Yasuhara, H.; Koide, R.",FREE RADICAL RESEARCH,13-Oct,2013,47,10,774,780,,10.3109/10715762.2013.829570,39,3.55,0,0,0,0,0,4,3,2,3,6,3,8,6,4,0,2.333333333,2.4
Replication Study for the Association of 9 East Asian GWAS-Derived Loci with Susceptibility to Type 2 Diabetes in a Japanese Population,"Sakai, Kensuke; Imamura, Minako; Tanaka, Yasushi; Iwata, Minoru; Hirose, Hiroshi; Kaku, Kohei; Maegawa, Hiroshi; Watada, Hirotaka; Tobe, Kazuyuki; Kashiwagi, Atsunori; Kawamori, Ryuzo; Maeda, Shiro",PLOS ONE,SEP 25 2013,2013,8,9,,,e76317,10.1371/journal.pone.0076317,39,3.55,0,0,0,0,0,3,5,7,3,9,1,2,6,3,0,2.666666667,3.6
Upregulation of T-cell factor-4 isoform-responsive target genes in hepatocellular carcinoma,"Tomimaru, Yoshito; Koga, Hironori; Yano, Hirohisa; de la Monte, Suzanne; Wands, Jack R.; Kim, Miran",LIVER INTERNATIONAL,13-Aug,2013,33,7,1100,1112,,10.1111/liv.12188,38,3.45,0,0,0,0,2,3,4,1,3,5,8,5,4,3,0,3,2.6
Expression of Brachyury Gene Is a Significant Prognostic Factor for Primary Lung Carcinoma,"Haro, Akira; Yano, Tokujiro; Kohno, Mikihiro; Yoshida, Tsukihisa; Koga, Takaomi; Okamoto, Tatsuro; Takenoyama, Mitsuhiro; Maehara, Yoshihiko",ANNALS OF SURGICAL ONCOLOGY,13-Dec,2013,20,,S509,S516,,10.1245/s10434-013-2914-9,37,3.36,0,0,0,0,0,4,8,8,5,2,1,4,3,2,0,4,5
Statin Use and Risk of Lung Cancer: a Meta-Analysis of Observational Studies and Randomized Controlled Trials,"Wang, Jinliang; Li, Cheng; Tao, Haitao; Cheng, Yao; Han, Lu; Li, Xiaoyan; Hu, Yi",PLOS ONE,OCT 25 2013,2013,8,10,,,e77950,10.1371/journal.pone.0077950,37,3.36,0,0,0,0,0,5,7,5,4,2,6,2,4,2,0,4,4.2
Effects of Bone Marrow Stromal Cell Transplantation through CSF on the Subacute and Chronic Spinal Cord Injury in Rats,"Nakano, Norihiko; Nakai, Yoshiyasu; Seo, Tae-Beom; Homma, Tamami; Yamada, Yoshihiro; Ohta, Masayoshi; Suzuki, Yoshihisa; Nakatani, Toshio; Fukushima, Masanori; Hayashibe, Miki; Ide, Chizuka",PLOS ONE,SEP 11 2013,2013,8,9,,,e73494,10.1371/journal.pone.0073494,37,3.36,0,0,0,0,0,1,3,7,8,6,3,1,6,2,0,1.333333333,3.8
Effect of elective cesarean section on the risk of mother-to-child transmission of hepatitis B virus,"Hu, Yali; Chen, Jie; Wen, Jian; Xu, Chenyu; Zhang, Shu; Xu, Biyun; Zhou, Yi-Hua",BMC PREGNANCY AND CHILDBIRTH,MAY 24 2013,2013,13,,,,119,10.1186/1471-2393-13-119,37,3.36,0,0,0,0,0,6,1,6,6,3,3,4,5,3,0,2.333333333,3.8
Common variable immunodeficiency classification by quantifying T-cell receptor and immunoglobulin kappa-deleting recombination excision circles,"Kamae, Chikako; Nakagawa, Noriko; Sato, Hiroki; Honma, Kenichi; Mitsuiki, Noriko; Ohara, Osamu; Kanegane, Hirokazu; Pasic, Srdjan; Pan-Hammarstrom, Qiang; van Zelm, Menno C.; Morio, Tomohiro; Imai, Kohsuke; Nonoyama, Shigeaki",JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY,13-May,2013,131,5,1437,+,,10.1016/j.jaci.2012.10.059,37,3.36,0,0,0,0,0,4,4,7,3,1,6,6,2,3,1,2.666666667,3.6
Oxidative Status and Lipofuscin Accumulation in Urothelial Cells of Bladder in Aging Mice,"Perse, Martina; Injac, Rade; Erman, Andreja",PLOS ONE,MAR 20 2013,2013,8,3,,,e59638,10.1371/journal.pone.0059638,37,3.36,0,0,0,0,1,6,3,0,2,6,5,9,3,1,1,3.333333333,2.4
Role of the rice transcription factor JAmyb in abiotic stress response,"Yokotani, Naoki; Ichikawa, Takanari; Kondou, Youichi; Iwabuchi, Masaki; Matsui, Minami; Hirochika, Hirohiko; Oda, Kenji",JOURNAL OF PLANT RESEARCH,13-Jan,2013,126,1,131,139,,10.1007/s10265-012-0501-y,36,3.27,0,0,0,0,2,6,5,4,1,2,3,5,4,4,0,4.333333333,3.6
TNF-alpha is essential in the induction of fatal autoimmune hepatitis in mice through upregulation of hepatic CCL20 expression,"Iwamoto, Satoru; Kido, Masahiro; Aoki, Nobuhiro; Nishiura, Hisayo; Maruoka, Ryutaro; Ikeda, Aki; Okazaki, Taku; Chiba, Tsutomu; Watanabe, Norihiko",CLINICAL IMMUNOLOGY,13-Jan,2013,146,1,15,25,,10.1016/j.clim.2012.10.008,35,3.18,0,0,0,0,5,5,3,5,2,5,2,2,3,3,0,4.333333333,4
Resistin-Like Molecule Is Abundantly Expressed in Foam Cells and Is Involved in Atherosclerosis Development,"Kushiyama, Akifumi; Sakoda, Hideyuki; Oue, Naohide; Okubo, Masamichi; Nakatsu, Yusuke; Ono, Haruya; Fukushima, Toshiaki; Kamata, Hideaki; Nishimura, Fusanori; Kikuchi, Takako; Fujishiro, Midori; Nishiyama, Koichi; Aburatani, Hiroyuki; Kushiyama, Sakura; Iizuka, Masaki; Taki, Naoyuki; Encinas, Jeffrey; Sentani, Kazuhiro; Ogonuki, Narumi; Ogura, Atsuo; Kawazu, Shoji; Yasui, Wataru; Higashi, Yukihito; Kurihara, Hiroki; Katagiri, Hideki; Asano, Tomoichiro",ARTERIOSCLEROSIS THROMBOSIS AND VASCULAR BIOLOGY,13-Aug,2013,33,8,1986,1993,,10.1161/ATVBAHA.113.301546,34,3.09,0,0,0,0,0,5,8,4,5,5,1,2,2,2,0,4.333333333,4.4
Haptoglobin Phenotype Predicts Cerebral Vasospasm and Clinical Deterioration after Aneurysmal Subarachnoid Hemorrhage,"Ohnishi, Hiroyuki; Iihara, Koji; Kaku, Yasuyuki; Yamauchi, Keita; Fukuda, Kenji; Nishimura, Kunihiro; Nakai, Michikazu; Satow, Tetsu; Nakajima, Norio; Ikegawa, Masaya",JOURNAL OF STROKE & CEREBROVASCULAR DISEASES,13-May,2013,22,4,520,526,,10.1016/j.jstrokecerebrovasdis.2013.02.005,34,3.09,0,0,0,0,0,6,5,4,4,4,5,3,2,1,0,3.666666667,3.8
"Maternal overweight and obesity: a survey of clinicians' characteristics and attitudes, and their responses to their pregnant clients","Wilkinson, Shelley A.; Poad, Di; Stapleton, Helen",BMC PREGNANCY AND CHILDBIRTH,MAY 21 2013,2013,13,,,,117,10.1186/1471-2393-13-117,33,3,0,0,0,0,0,3,5,2,4,3,5,10,0,1,0,2.666666667,2.8
Non-Specific Protein Modifications by a Phytochemical Induce Heat Shock Response for Self-Defense,"Ohnishi, Kohta; Ohkura, Shinya; Nakahata, Erina; Ishisaka, Akari; Kawai, Yoshichika; Terao, Junji; Mori, Taiki; Ishii, Takeshi; Nakayama, Tsutomu; Kioka, Noriyuki; Matsumoto, Shinya; Ikeda, Yasutaka; Akiyama, Minoru; Irie, Kazuhiro; Murakami, Akira",PLOS ONE,MAR 11 2013,2013,8,3,,,e58641,10.1371/journal.pone.0058641,32,2.91,0,0,0,0,1,4,4,7,1,5,5,4,1,0,0,3,3.4
Obesity/Weight Gain and Breast Cancer Risk: Findings From the Japan Collaborative Cohort Study for the Evaluation of Cancer Risk,"Suzuki, Sadao; Kojima, Masayo; Tokudome, Shinkan; Mori, Mitsuru; Sakauchi, Fumio; Wakai, Kenji; Fujino, Yoshihisa; Lin, Yingsong; Kikuchi, Shogo; Tamakoshi, Koji; Tamakoshi, Akiko",JOURNAL OF EPIDEMIOLOGY,13-Mar,2013,23,2,139,145,,10.2188/jea.JE20120102,32,2.91,0,0,0,0,5,5,4,2,4,3,3,1,2,3,0,4.666666667,4
Elongation Factor-1 alpha Is a Novel Protein Associated with Host Cell Invasion and a Potential Protective Antigen of Cryptosporidium parvum,"Matsubayashi, Makoto; Teramoto-Kimata, Isao; Uni, Shigehiko; Lillehoj, Hyun S.; Matsuda, Haruo; Furuya, Masaru; Tani, Hiroyuki; Sasai, Kazumi",JOURNAL OF BIOLOGICAL CHEMISTRY,NOV 22 2013,2013,288,47,34111,34120,,10.1074/jbc.M113.515544,31,2.82,0,0,0,0,0,2,2,4,9,2,5,3,2,2,0,1.333333333,3.4
Androgen metabolite-dependent growth of hormone receptor-positive breast cancer as a possible aromatase inhibitor-resistance mechanism,"Hanamura, Toru; Niwa, Toshifumi; Nishikawa, Sayo; Konno, Hiromi; Gohno, Tatsuyuki; Tazawa, Chika; Kobayashi, Yasuhito; Kurosumi, Masafumi; Takei, Hiroyuki; Yamaguchi, Yuri; Ito, Ken-ichi; Hayashi, Shin-ichi",BREAST CANCER RESEARCH AND TREATMENT,13-Jun,2013,139,3,731,740,,10.1007/s10549-013-2595-x,31,2.82,0,0,0,0,0,3,7,5,6,3,2,3,1,1,0,3.333333333,4.2
Semen quality of 1559 young men from four cities in Japan: a cross-sectional population-based study,"Iwamoto, Teruaki; Nozawa, Shiari; Mieno, Makiko Naka; Yamakawa, Katsunori; Baba, Katsuyuki; Yoshiike, Miki; Namiki, Mikio; Koh, Eitetsu; Kanaya, Jiro; Okuyama, Akihiko; Matsumiya, Kiyomi; Tsujimura, Akira; Kanetake, Hiroshi; Eguchi, Jiro; Skakkebaek, Niels E.; Vierula, Matti; Toppari, Jorma; Jorgensen, Niels",BMJ OPEN,2013,2013,3,4,,,e002222,10.1136/bmjopen-2012-002222,30,2.73,0,0,0,0,0,4,6,1,3,3,2,6,1,4,0,3.333333333,2.8
Modulation of protein quality control systems by food phytochemicals,"Murakami, Akira",JOURNAL OF CLINICAL BIOCHEMISTRY AND NUTRITION,MAY 1 2013,2013,52,3,215,227,,10.3164/jcbn.12-126,29,2.64,0,0,0,0,2,2,5,2,5,3,2,3,2,2,1,3,3.2
Impact of Chronic Kidney Disease on Carotid Atherosclerosis According to Blood Pressure Category The Suita Study,"Ohara, Tomoyuki; Kokubo, Yoshihiro; Toyoda, Kazunori; Watanabe, Makoto; Koga, Masatoshi; Nakamura, Satoko; Nagatsuka, Kazuyuki; Minematsu, Kazuo; Nakagawa, Masanori; Miyamoto, Yoshihiro",STROKE,13-Dec,2013,44,12,3537,3539,,10.1161/STROKEAHA.113.002957,28,2.55,0,0,0,0,0,4,3,5,3,1,3,0,6,3,0,2.333333333,3
Migratory activity of circulating progenitor cells and serum SDF-1 alpha predict adverse events in patients with myocardial infarction,"Fortunato, Orazio; Spinetti, Gaia; Specchia, Claudia; Cangiano, Elisa; Valgimigli, Marco; Madeddu, Paolo",CARDIOVASCULAR RESEARCH,NOV 1 2013,2013,100,2,192,200,,10.1093/cvr/cvt153,28,2.55,0,0,0,0,1,2,7,1,4,2,7,1,1,2,0,3.333333333,3
Assessing the Clinical Utility of a Genetic Risk Score Constructed Using 49 Susceptibility Alleles for Type 2 Diabetes in a Japanese Population,"Imamura, Minako; Shigemizu, Daichi; Tsunoda, Tatsuhiko; Iwata, Minoru; Maegawa, Hiroshi; Watada, Hirotaka; Hirose, Hiroshi; Tanaka, Yasushi; Tobe, Kazuyuki; Kaku, Kohei; Kashiwagi, Atsunori; Kawamori, Ryuzo; Maeda, Shiro",JOURNAL OF CLINICAL ENDOCRINOLOGY & METABOLISM,13-Oct,2013,98,10,E1667,E1673,,10.1210/jc.2013-1642,28,2.55,0,0,0,0,0,3,1,7,1,4,3,0,6,3,0,1.333333333,2.4
Splenectomy Prolongs the Effects of Corticosteroids in Mouse Models of Autoimmune Hepatitis,"Maruoka, Ryutaro; Aoki, Nobuhiro; Kido, Masahiro; Iwamoto, Satoru; Nishiura, Hisayo; Ikeda, Aki; Chiba, Tsutomu; Watanabe, Norihiko",GASTROENTEROLOGY,13-Jul,2013,145,1,209,+,,10.1053/j.gastro.2013.03.011,28,2.55,0,0,0,0,0,6,6,3,1,3,4,2,1,2,0,4,3.2
Deletion of the Transcriptional Regulator cyAbrB2 Deregulates Primary Carbon Metabolism in Synechocystis sp PCC 6803,"Kaniya, Yuki; Kizawa, Ayumi; Miyagi, Atsuko; Kawai-Yamada, Maki; Uchimiya, Hirofumi; Kaneko, Yasuko; Nishiyama, Yoshikata; Hihara, Yukako",PLANT PHYSIOLOGY,13-Jun,2013,162,2,1153,1163,,10.1104/pp.113.218784,28,2.55,0,0,0,0,0,3,5,6,1,4,4,2,2,1,0,2.666666667,3
