Title,Authors,Source Title,Publication Date,Publication Year,Volume,Issue,Beginning Page,Ending Page,Article Number,doi,Conference Title,Conference Date,Total Citations,Average per Year,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,ave3,ave5
Yeast Methylotrophy and Autophagy in a Methanol-Oscillating Environment on Growing Arabidopsis thaliana Leaves,"Kawaguchi, Kosuke; Yurimoto, Hiroya; Oku, Masahide; Sakai, Yasuyoshi",PLOS ONE,SEP 26 2011,2011,6,9,,,e25257,10.1371/journal.pone.0025257,,,40,3.08,0,0,0,4,2,4,2,3,4,3,4,2,5,7,0,2,2.4
"Population dynamics of phytoplankton, heterotrophic bacteria, and viruses during the spring bloom in the western subarctic Pacific","Suzuki, Koji; Kuwata, Akira; Yoshie, Naoki; Shibata, Akira; Kawanobe, Kyoko; Saito, Hiroaki",DEEP-SEA RESEARCH PART I-OCEANOGRAPHIC RESEARCH PAPERS,MAY 2011,2011,58,5,575,589,,10.1016/j.dsr.2011.03.003,,,40,3.08,0,0,0,2,2,3,6,2,3,7,3,4,4,4,0,1.333333333,2.6
Enhancement of vascularization and granulation tissue formation by growth factors in human platelet-rich plasma-containing fragmin/protamine microparticles,"Takikawa, Megumi; Nakamura, Shin-Ichiro; Nakamura, Shingo; Nambu, Masaki; Ishihara, Masayuki; Fujita, Masanori; Kishimoto, Satoko; Doumoto, Takashi; Yanagibayashi, Satoshi; Azuma, Ryuichi; Yamamoto, Naoto; Kiyosawal, Tomoharu",JOURNAL OF BIOMEDICAL MATERIALS RESEARCH PART B-APPLIED BIOMATERIALS,MAY 2011,2011,97B,2,373,380,,10.1002/jbm.b.31824,,,40,3.08,0,0,2,2,7,3,5,2,4,6,5,2,1,1,0,3.666666667,3.8
Leukotrienes in Nociceptive Pathway and Neuropathic/Inflammatory Pain,"Noguchi, Koichi; Okubo, Masamichi",BIOLOGICAL & PHARMACEUTICAL BULLETIN,AUG 2011,2011,34,8,1163,1169,,10.1248/bpb.34.1163,,,39,3,0,0,0,6,6,2,3,8,3,1,3,3,3,1,0,4,3.4
Increased muscular dehydroepiandrosterone levels are associated with improved hyperglycemia in obese rats,"Sato, Koji; Iemitsu, Motoyuki; Aizawa, Katsuji; Mesaki, Noboru; Fujita, Satoshi",AMERICAN JOURNAL OF PHYSIOLOGY-ENDOCRINOLOGY AND METABOLISM,AUG 2011,2011,301,2,E274,E280,,10.1152/ajpendo.00564.2010,,,39,3,0,0,0,1,2,3,4,7,4,3,5,6,3,1,0,1,2
Remote sensing of size structure of phytoplankton communities using optical properties of the Chukchi and Bering Sea shelf region,"Fujiwara, A.; Hirawake, T.; Suzuki, K.; Saitoh, S. -I.",BIOGEOSCIENCES,2011,2011,8,12,3567,3580,,10.5194/bg-8-3567-2011,,,39,3,0,0,0,2,1,5,5,6,7,1,4,3,1,4,0,1,2.6
Effect of integrin targeting and PEG shielding on polyplex micelle internalization studied by live-cell imaging,"Mickler, F. M.; Vachutinsky, Y.; Oba, M.; Miyata, K.; Nishiyama, N.; Kataoka, K.; Braeuchle, C.; Ruthardt, N.",JOURNAL OF CONTROLLED RELEASE,DEC 20 2011,2011,156,3,364,373,,10.1016/j.jconrel.2011.08.003,,,38,2.92,0,0,0,1,6,5,6,1,3,5,4,3,2,2,0,2.333333333,3.6
Two unrelated patients with MRE1 1A mutations and Nijmegen breakage syndrome-like severe microcephaly,"Matsumoto, Yoshiyuki; Miyamoto, Tatsuo; Sakamoto, Hiromi; Izumi, Hideki; Nakazawa, Yuka; Ogi, Tomoo; Tahara, Hidetoshi; Oku, Shozo; Hiramoto, Azuma; Shiiki, Toshihide; Fujisawa, Yoshiki; Ohashi, Hirofumi; Sakemi, Yoshihiro; Matsuura, Shinya",DNA REPAIR,MAR 7 2011,2011,10,3,314,321,,10.1016/j.dnarep.2010.12.002,,,38,2.92,0,0,1,3,3,8,2,2,5,2,4,4,4,0,0,2.333333333,3.4
Increase of Close Homolog of Cell Adhesion Molecule L1 in Primary Afferent by Nerve Injury and the Contribution to Neuropathic Pain,"Yamanaka, Hiroki; Kobayashi, Kimiko; Okubo, Masamichi; Fukuoka, Tetsuo; Noguchi, Koichi",JOURNAL OF COMPARATIVE NEUROLOGY,JUN 1 2011,2011,519,8,1597,1615,,10.1002/cne.22588,,,23,1.77,0,0,0,3,2,1,4,0,7,1,1,3,1,0,0,1.666666667,2
Hexagonal boron nitride as a new ultraviolet luminescent material and its application-Fluorescence properties of hBN single-crystal powder,"Watanabe, Kenji; Taniguchi, Takashi; Miya, Kenta; Sato, Yoshitaka; Nakamura, Kazuhito; Niiyama, Takahiro; Taniguchi, Masateru",DIAMOND AND RELATED MATERIALS,MAY-JUN 2011,2011,20,5-6,849,852,,10.1016/j.diamond.2011.04.002,"21st European Conference on Diamond, Diamond-Like Materials, Carbon Nanotubes, and Nitrides","SEP 05-09, 2010",23,1.77,0,0,0,1,0,0,0,5,1,3,3,4,3,3,0,0.333333333,0.2
Tunable stimuli-responsive self-assembly system that forms and stabilizes nanoparticles by simple mixing and heating/cooling of selected block copolymers,"Kotsuchibashi, Youhei; Ebara, Mitsuhiro; Yamamoto, Kazuya; Aoyagi, Takao",POLYMER CHEMISTRY,2011,2011,2,6,1362,1367,,10.1039/c1py00004g,,,23,1.77,0,0,0,6,4,4,0,3,3,0,0,1,2,0,0,3.333333333,2.8
AN AUTOPSY CASE OF SOD1-RELATED ALS WITH TDP-43 POSITIVE INCLUSIONS,"Okamoto, Y.; Ihara, M.; Urushitani, M.; Yamashita, H.; Kondo, T.; Tanigaki, A.; Oono, M.; Kawamata, J.; Ikemoto, A.; Kawamoto, Y.; Takahashi, R.; Ito, H.",NEUROLOGY,NOV 29 2011,2011,77,22,1993,1995,,10.1212/WNL.0b013e31823a0cfc,,,21,1.62,0,0,0,3,2,2,2,1,3,1,1,2,3,1,0,1.666666667,1.8
"Inhibition of TRPA1 channel activity in sensory neurons by the glial cell line-derived neurotrophic factor family member, artemin","Yoshida, Naoki; Kobayashi, Kimiko; Yu, Lina; Wang, Shenglan; Na, Rengaowa; Yamamoto, Satoshi; Noguchi, Koichi; Dai, Yi",MOLECULAR PAIN,MAY 27 2011,2011,7,,,,41,10.1186/1744-8069-7-41,,,21,1.62,0,0,0,2,3,5,2,2,3,0,2,2,0,0,0,1.666666667,2.4
Local Connections of Excitatory Neurons to Corticothalamic Neurons in the Rat Barrel Cortex,"Tanaka, Yasuhiro R.; Tanaka, Yasuyo H.; Konno, Michiteru; Fujiyama, Fumino; Sonomura, Takahiro; Okamoto-Furuta, Keiko; Kameda, Hiroshi; Hioki, Hiroyuki; Furuta, Takahiro; Nakamura, Kouichi C.; Kaneko, Takeshi",JOURNAL OF NEUROSCIENCE,DEC 14 2011,2011,31,50,18223,18236,,10.1523/JNEUROSCI.3139-11.2011,,,20,1.54,0,0,0,2,2,3,4,3,1,1,0,1,1,2,0,1.333333333,2.2
UV irradiation of immunized mice induces type 1 regulatory T cells that suppress tumor antigen specific cytotoxic T lymphocyte responses,"Toda, Masaaki; Wang, Linan; Ogura, Suguru; Torii, Mie; Kurachi, Makoto; Kakimi, Kazuhiro; Nishikawa, Hiroyoshi; Matsushima, Kouji; Shiku, Hiroshi; Kuribayashi, Kagemasa; Kato, Takuma",INTERNATIONAL JOURNAL OF CANCER,SEP 1 2011,2011,129,5,1126,1136,,10.1002/ijc.25775,,,20,1.54,0,0,0,5,3,3,1,3,1,1,0,1,2,0,0,2.666666667,2.4
SH3P2 is a negative regulator of cell motility whose function is inhibited by ribosomal S6 kinase-mediated phosphorylation,"Tanimura, Susumu; Hashizume, Junya; Kurosaki, Yukiko; Sei, Kanako; Gotoh, Aiko; Ohtake, Rika; Kawano, Michihiro; Watanabe, Kazushi; Kohno, Michiaki",GENES TO CELLS,MAY 2011,2011,16,5,514,526,,10.1111/j.1365-2443.2011.01503.x,,,20,1.54,0,0,1,1,2,3,1,2,2,2,1,1,2,2,0,1.333333333,1.6
Efficacy of fragmin/protamine microparticles containing fibroblast growth factor-2 (F/P MPs/FGF-2) to induce collateral vessels in a rabbit model of hindlimb ischemia,"Horio, Takuya; Fujita, Masanori; Tanaka, Yoshihiro; Ishihara, Masayuki; Kishimoto, Satoko; Nakamura, Shingo; Hase, Kazuo; Maehara, Tadaaki",JOURNAL OF VASCULAR SURGERY,SEP 2011,2011,54,3,791,798,,10.1016/j.jvs.2011.02.060,,,18,1.38,0,0,0,1,2,2,2,2,2,1,4,0,1,1,0,1,1.4
Coactivation of renal sympathetic neurons and somatic motor neurons by chemical stimulation of the midbrain ventral tegmental area,"Nakamoto, Tomoko; Matsukawa, Kanji; Liang, Nan; Wakasugi, Rie; Wilson, L. Britt; Horiuchi, Jouji",JOURNAL OF APPLIED PHYSIOLOGY,MAY 2011,2011,110,5,1342,1353,,10.1152/japplphysiol.01233.2010,,,18,1.38,0,0,0,3,1,1,3,3,2,3,1,1,0,0,0,1.333333333,1.6
Central command does not decrease cardiac parasympathetic efferent nerve activity during spontaneous fictive motor activity in decerebrate cats,"Kadowaki, Akito; Matsukawa, Kanji; Wakasugi, Rie; Nakamoto, Tomoko; Liang, Nan",AMERICAN JOURNAL OF PHYSIOLOGY-HEART AND CIRCULATORY PHYSIOLOGY,APR 2011,2011,300,4,H1373,H1385,,10.1152/ajpheart.01296.2010,,,18,1.38,0,0,0,2,2,4,4,3,1,1,0,0,0,1,0,1.333333333,2.4
mRNA Display Selection of an Optimized MDM2-Binding Peptide That Potently Inhibits MDM2-p53 Interaction,"Shiheido, Hirokazu; Takashima, Hideaki; Doi, Nobuhide; Yanagawa, Hiroshi",PLOS ONE,MAR 15 2011,2011,6,3,,,e17898,10.1371/journal.pone.0017898,,,18,1.38,0,0,0,3,1,1,2,2,1,1,2,1,1,3,0,1.333333333,1.4
Increased survival of free fat grafts and vascularization in rats with local delivery of fragmin/protamine microparticles containing FGF-2 (F/P MP-F),"Nakamura, Shinichiro; Ishihara, Masayuki; Takikawa, Megumi; Murakami, Kaoru; Kishimoto, Satoko; Nakamura, Shingo; Yanagibayashi, Satoshi; Mori, Yasutaka; Fujita, Masanori; Kubo, Satoshi; Yamamoto, Naoto; Kiyosawa, Tomoharu",JOURNAL OF BIOMEDICAL MATERIALS RESEARCH PART B-APPLIED BIOMATERIALS,FEB 2011,2011,96B,2,234,241,,10.1002/jbm.b.31757,,,17,1.31,0,0,0,1,0,3,4,0,1,2,3,2,1,0,0,0.333333333,1.6
Electrical stimulation of the mesencephalic ventral tegmental area evokes skeletal muscle vasodilatation in the cat and rat,"Matsukawa, Kanji; Nakamoto, Tomoko; Liang, Nan",JOURNAL OF PHYSIOLOGICAL SCIENCES,JUL 2011,2011,61,4,293,301,,10.1007/s12576-011-0149-8,,,15,1.15,0,0,0,2,2,1,3,2,1,1,1,1,1,0,0,1.333333333,1.6
Colocalization of 14-3-3 Proteins with SOD1 in Lewy Body-Like Hyaline Inclusions in Familial Amyotrophic Lateral Sclerosis Cases and the Animal Model,"Okamoto, Yoko; Shirakashi, Yoshitomo; Ihara, Masafumi; Urushitani, Makoto; Oono, Miki; Kawamoto, Yasuhiro; Yamashita, Hirofumi; Shimohama, Shun; Kato, Shinsuke; Hirano, Asao; Tomimoto, Hidekazu; Ito, Hidefumi; Takahashi, Ryosuke",PLOS ONE,MAY 31 2011,2011,6,5,,,e20427,10.1371/journal.pone.0020427,,,15,1.15,0,0,1,1,2,2,2,3,2,0,1,0,1,0,0,1.333333333,1.6
"Mimivirus reveals Mre11/Rad50 fusion proteins with a sporadic distribution in eukaryotes, bacteria, viruses and plasmids","Yoshida, Takashi; Claverie, Jean-Michel; Ogata, Hiroyuki",VIROLOGY JOURNAL,SEP 7 2011,2011,8,,,,427,10.1186/1743-422X-8-427,,,13,1,0,0,0,1,1,2,0,1,1,2,2,1,0,2,0,0.666666667,0.8
"An analysis of mutualistic interactions between exotic ants and honeydew producers in the Yanbaru district of Okinawa Island, Japan","Tanaka, Hirotaka; Ohnishi, Hitoshi; Tatsuta, Haruki; Tsuji, Kazuki",ECOLOGICAL RESEARCH,SEP 2011,2011,26,5,931,941,,10.1007/s11284-011-0851-2,,,13,1,0,0,0,0,2,2,1,0,0,1,1,0,4,2,0,0.666666667,1
"Evolution of volcanic gas composition during repeated culmination of volcanic activity at Kuchinoerabujima volcano, Japan","Shinohara, H.; Hirabayashi, J.; Nogami, K.; Iguchi, M.",JOURNAL OF VOLCANOLOGY AND GEOTHERMAL RESEARCH,APR 30 2011,2011,202,1-2,107,116,,10.1016/j.jvolgeores.2011.01.011,,,13,1,0,0,0,1,1,1,2,1,2,1,3,1,0,0,0,0.666666667,1
Effects of Mn and Fe on growth of a coastal marine diatom Talassiosira weissflogii in the presence of precipitated Fe(III) hydroxide and EDTA-Fe(III) complex,"Ushizaka, Satomi; Kuma, Kenshi; Suzuki, Koji",FISHERIES SCIENCE,MAY 2011,2011,77,3,411,424,,10.1007/s12562-011-0339-6,,,11,0.85,0,0,0,0,1,0,0,1,1,2,1,1,1,3,0,0.333333333,0.2
Ca2+/calmodulin-dependent protein kinase II and protein kinase C activities mediate extracellular glucose-regulated hippocampal synaptic efficacy,"Moriguchi, Shigeki; Oomura, Yutaka; Shioda, Norifumi; Han, Feng; Hori, Nobuaki; Aou, Shuji; Fukunaga, Kohji",MOLECULAR AND CELLULAR NEUROSCIENCE,JAN 11 2011,2011,46,1,101,107,,10.1016/j.mcn.2010.08.010,,,10,0.77,0,0,0,1,2,2,0,0,1,0,1,1,1,1,0,1,1
Estimation of three-dimensional boundary shape of the Osaka sedimentary basin by waveform inversion,"Iwaki, Asako; Iwata, Tomotaka",GEOPHYSICAL JOURNAL INTERNATIONAL,SEP 2011,2011,186,3,1255,1278,,10.1111/j.1365-246X.2011.05102.x,,,7,0.54,0,0,0,0,0,0,0,1,2,2,0,0,2,0,0,0,0
Importance of intracellular Fe pools on growth of marine diatoms by using unialgal cultures and on the Oyashio region phytoplankton community during spring,"Sugie, Koji; Kuma, Kenshi; Fujita, Satoshi; Ushizaka, Satomi; Suzuki, Koji; Ikeda, Tsutomu",JOURNAL OF OCEANOGRAPHY,APR 2011,2011,67,2,183,196,,10.1007/s10872-011-0017-4,,,7,0.54,0,0,0,0,3,1,1,0,1,1,0,0,0,0,0,1,1
Note: Human heartbeat measurement on the basis of current generated by electrostatic induction,"Kurita, Koichi",REVIEW OF SCIENTIFIC INSTRUMENTS,FEB 2011,2011,82,2,,,26105,10.1063/1.3541554,,,7,0.54,0,0,1,2,0,0,1,1,0,2,0,0,0,0,0,1,0.8
Bayesian predictive densities based on latent information priors,"Komaki, Fumiyasu",JOURNAL OF STATISTICAL PLANNING AND INFERENCE,DEC 2011,2011,141,12,3705,3715,,10.1016/j.jspi.2011.06.009,,,6,0.46,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0.666666667,0.6
Role of Sarcolemmal BKCa Channels in Stretch-Induced Extrasystoles in Isolated Chick Hearts,"Iribe, Gentaro; Jin, Honghua; Naruse, Keiji",CIRCULATION JOURNAL,NOV 2011,2011,75,11,2552,2558,,10.1253/circj.CJ-11-0486,,,6,0.46,0,0,0,0,1,0,2,1,1,0,0,0,1,0,0,0.333333333,0.6
A new technique for touch sensing based on measurement of current generated by electrostatic induction,"Kurita, Koichi; Fujii, Yusaku; Shimada, Kazuhito",SENSORS AND ACTUATORS A-PHYSICAL,NOV 2011,2011,170,1-2,66,71,,10.1016/j.sna.2011.06.005,,,6,0.46,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0,0.666666667,0.4
Inhibition of surgical trauma-enhanced peritoneal dissemination of tumor cells by human catalase derivatives in mice,"Nishizaki, Chika; Nishikawa, Makiya; Yata, Tomoya; Yamada, Toshiyuki; Takahashi, Yuki; Oku, Masahide; Yurimoto, Hiroya; Sakai, Yasuyoshi; Nakanishi, Kenji; Takakura, Yoshinobu",FREE RADICAL BIOLOGY AND MEDICINE,AUG 1 2011,2011,51,3,773,779,,10.1016/j.freeradbiomed.2011.05.025,,,6,0.46,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0.333333333,0.6
Fragmin/Protamine Microparticles (F/P MPs) as Cell Carriers Enhance the Formation and Growth of Tumors In Vivo,"Kumano, Isao; Kishimoto, Satoko; Nakamura, Shingo; Hattori, Hidemi; Tanaka, Yoshihiro; Nakata, Mitsuhiro; Sato, Toshinori; Fujita, Masanori; Maehara, Tadaaki; Ishihara, Masayuki",CELLULAR AND MOLECULAR BIOENGINEERING,SEP 2011,2011,4,3,476,483,,10.1007/s12195-011-0172-0,,,4,0.31,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0.4
Luminescence Characteristics and Annealing Effect of Tb-Doped AlBNO Films for Inorganic Electroluminescence Devices,"Masumoto, Keiko; Semba, Akitoshi; Kimura, Chiharu; Taniguchi, Takashi; Watanabe, Kenji; Sakata, Takao; Aoki, Hidemitsu",JAPANESE JOURNAL OF APPLIED PHYSICS,APR 2011,2011,50,4,,,04DH01,10.1143/JJAP.50.04DH01,International Conference on Solid State Devices and Materials (SSDM 2010),"SEP 22-24, 2010",4,0.31,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0.666666667,0.4
Correlation between morphology and electron spin relaxation time in GaAs/AlGaAs quantum wells on misoriented GaAs(110) substrates,"Koh, Shinji; Ikeda, Kazuhiro; Kawaguchi, Hitoshi",JOURNAL OF APPLIED PHYSICS,AUG 15 2011,2011,110,4,,,43516,10.1063/1.3622586,,,2,0.15,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.333333333,0.4
Generation of a Rat Monoclonal Antibody Specific for Hsp72,"Tanaka, Masako; Shiota, Masayuki; Okada, Seiji; Harada, Akihito; Odawara, Jun; Mun, Saya; Iwao, Hiroshi; Ohkawa, Yasuyuki",HYBRIDOMA,AUG 2011,2011,30,4,397,400,,10.1089/hyb.2011.0015,,,2,0.15,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Faster MapToPoint on Supersingular Elliptic Curves in Characteristic 3,"Kawahara, Yuto; Kobayashi, Tetsutaro; Takahashi, Gen; Takagi, Tsuyoshi",IEICE TRANSACTIONS ON FUNDAMENTALS OF ELECTRONICS COMMUNICATIONS AND COMPUTER SCIENCES,JAN 2011,2011,E94A,1,150,155,,10.1587/transfun.E94.A.150,,,2,0.15,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Highly sensitive QCM odor sensors with lipopolymeric nanocomposites and physisorbed amphiphilic GC materials,"Wyszynski, Bartosz; Nakamoto, Takamichi",SENSOR REVIEW,2011,2011,31,3,277,284,,10.1108/02602281111140047,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Structural basis for semaphorin signalling through the plexin receptor,"Nogi, Terukazu; Yasui, Norihisa; Mihara, Emiko; Matsunaga, Yukiko; Noda, Masanori; Yamashita, Naoya; Toyofuku, Toshihiko; Uchiyama, Susumu; Goshima, Yoshio; Kumanogoh, Atsushi; Takagi, Junichi",NATURE,OCT 28 2010,2010,467,7319,1123,U138,,10.1038/nature09473,,,116,8.29,0,0,5,20,13,8,5,14,10,11,7,9,9,5,0,8.333333333,9.2
Nuclear pore formation but not nuclear growth is governed by cyclin-dependent kinases (Cdks) during interphase,"Maeshima, Kazuhiro; Iino, Haruki; Hihara, Saera; Funakoshi, Tomoko; Watanabe, Ai; Nishimura, Masaomi; Nakatomi, Reiko; Yahata, Kazuhide; Imamoto, Fumio; Hashikawa, Tsutomu; Yokota, Hideo; Imamoto, Naoko",NATURE STRUCTURAL & MOLECULAR BIOLOGY,SEP 2010,2010,17,9,1065,U5,,10.1038/nsmb.1878,,,73,5.21,0,0,4,8,5,8,6,12,4,6,6,4,4,6,0,4,5
Redox potential of pheophytin a in photosystem II of two cyanobacteria having the different special pair chlorophylls,"Allakhverdiev, Suleyman I.; Tomo, Tatsuya; Shimada, Yuichiro; Kindo, Hayato; Nagao, Ryo; Klimov, Vyacheslav V.; Mimuro, Mamoru",PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,FEB 23 2010,2010,107,8,3924,3929,,10.1073/pnas.0913460107,,,66,4.71,0,2,9,9,4,8,11,6,2,3,7,2,0,3,0,6.666666667,6.4
Estrogen Configures Sexual Dimorphism in the Preoptic Area of C57BL/6J and ddN Strains of Mice,"Orikasa, Chitose; Sakuma, Yasuo",JOURNAL OF COMPARATIVE NEUROLOGY,SEP 1 2010,2010,518,17,3618,3629,,10.1002/cne.22419,,,58,4.14,0,1,2,2,7,2,5,8,6,6,6,7,5,1,0,1.666666667,2.8
Inhibition of dipeptidyl peptidase 4 regulates microvascular endothelial growth induced by inflammatory cytokines,"Takasawa, Wataru; Ohnuma, Kei; Hatano, Ryo; Endo, Yuko; Dang, Nam H.; Morimoto, Chikao",BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,OCT 8 2010,2010,401,1,7,12,,10.1016/j.bbrc.2010.08.112,,,46,3.29,0,0,4,5,7,7,5,5,5,2,2,3,1,0,0,3,4.6
Identification of a new adhesin-like protein from Lactobacillus mucosae ME-340 with specific affinity to the human blood group A and B antigens,"Watanabe, M.; Kinoshita, H.; Nitta, M.; Yukishita, R.; Kawai, Y.; Kimura, K.; Taketomo, N.; Yamazaki, Y.; Tateno, Y.; Miura, K.; Horii, A.; Kitazawa, H.; Saito, T.",JOURNAL OF APPLIED MICROBIOLOGY,SEP 2010,2010,109,3,927,935,,10.1111/j.1365-2672.2010.04719.x,,,40,2.86,0,0,3,4,4,2,2,4,5,2,6,5,2,1,0,2.333333333,2.6
Selective Excitation of Photosystems in Chloroplasts Inside Plant Leaves Observed by Near-Infrared Laser-Based Fluorescence Spectral Microscopy,"Hasegawa, Makoto; Shiina, Takashi; Terazima, Masahide; Kumazaki, Shigeichi",PLANT AND CELL PHYSIOLOGY,FEB 2010,2010,51,2,225,238,,10.1093/pcp/pcp182,,,28,2,0,0,2,1,7,1,3,3,3,1,4,1,1,1,0,1,2.2
Risk of Coronary Heart Disease and Mortality for Adults With Subclinical Hypothyroidism,"Rotondi, Mario; Magri, Flavia; Chiovato, Luca",JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,DEC 8 2010,2010,304,22,2481,2481,,10.1001/jama.2010.1786,,,27,1.93,0,0,1,0,4,1,1,4,2,1,4,7,1,1,0,0.333333333,1.2
Molecular characterization of cyp11a1 and cyp11b1 and their gene expression profile in pejerrey (Odontesthes bonariensis) during early gonadal development,"Blasco, Martin; Fernandino, Juan I.; Guilgur, Leonardo G.; Strussmann, Carlos A.; Somoza, Gustavo M.; Vizziano-Cantonnet, Denise",COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY A-MOLECULAR & INTEGRATIVE PHYSIOLOGY,MAY 2010,2010,156,1,110,118,,10.1016/j.cbpa.2010.01.006,,,27,1.93,0,1,1,3,2,2,3,1,4,2,2,3,3,0,0,1.666666667,1.8
Construction of a Genetic Map and Development of DNA Markers Linked to the Sex-Determining Locus in the Patagonian Pejerrey (Odontesthes hatcheri),"Koshimizu, Eriko; Struessmann, Carlos Augusto; Okamoto, Nobuaki; Fukuda, Hideo; Sakamoto, Takashi",MARINE BIOTECHNOLOGY,FEB 2010,2010,12,1,8,13,,10.1007/s10126-009-9194-1,,,23,1.64,0,3,4,2,2,1,3,0,0,2,2,2,1,1,0,3,2.4
Diurnal changes of arginine vasopressin-enhanced green fluorescent protein fusion transgene expression in the rat suprachiasmatic nucleus,"Maruyama, Takashi; Ohbuchi, Toyoaki; Fujihara, Hiroaki; Shibata, Minori; Mori, Koji; Murphy, David; Dayanithi, Govindan; Ueta, Yoichi",PEPTIDES,NOV 2010,2010,31,11,2089,2093,,10.1016/j.peptides.2010.08.010,,,21,1.5,0,0,1,2,1,2,3,1,2,2,2,0,4,1,0,1,1.2
Measuring attention using flash-lag effect,"Shioiri, Satoshi; Yamamoto, Ken; Oshida, Hiroki; Matsubara, Kazuya; Yaguchi, Hirohisa",JOURNAL OF VISION,2010,2010,10,10,,,10,10.1167/10.10.10,,,21,1.5,0,0,1,1,3,1,2,2,0,4,3,1,2,1,0,0.666666667,1.2
Brief naturalistic stress induces an alternative splice variant of SMG-1 lacking exon 63 in peripheral leukocytes,"Kurokawa, Ken; Kuwano, Yuki; Tominaga, Kumiko; Kawai, Tomoko; Katsuura, Sakurako; Yamagishi, Naoko; Satake, Yuzuru; Kajita, Keisuke; Tanahashi, Toshihito; Rokutan, Kazuhito",NEUROSCIENCE LETTERS,OCT 29 2010,2010,484,2,128,132,,10.1016/j.neulet.2010.08.031,,,19,1.36,0,0,0,2,3,2,1,4,3,1,1,1,1,0,0,0.666666667,1.4
GM2 Gangliosidosis Variant 0 (Sandhoff-Like Disease) in a Family of Toy Poodles,"Tamura, S.; Tamura, Y.; Uchida, K.; Nibe, K.; Nakaichi, M.; Hossain, M. A.; Chang, H. S.; Rahman, M. M.; Yabuki, A.; Yamato, O.",JOURNAL OF VETERINARY INTERNAL MEDICINE,SEP-OCT 2010,2010,24,5,1013,1019,,10.1111/j.1939-1676.2010.0564.x,,,19,1.36,0,0,1,3,4,1,1,3,1,3,0,0,1,1,0,1.333333333,1.8
"PIH1D1, a subunit of R2TP complex, inhibits doxorubicin-induced apoptosis","Inoue, Mika; Saeki, Makio; Egusa, Hiroshi; Niwa, Hitoshi; Kamisaki, Yoshinori",BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,DEC 17 2010,2010,403,3-4,340,344,,10.1016/j.bbrc.2010.11.031,,,17,1.21,0,0,1,3,3,2,1,2,0,1,2,0,1,1,0,1.333333333,1.8
Interleukin-18 deficiency reduces neuropeptide gene expressions in the mouse amygdala related with behavioral change,"Yamamoto, Yuta; Tanahashi, Toshihito; Katsuura, Sakurako; Kurokawa, Ken; Nishida, Kensei; Kuwano, Yuki; Kawai, Tomoko; Teshima-Kondo, Shigetada; Chikahisa, Sachiko; Tsuruo, Yoshihiro; Sei, Hiroyoshi; Rokutan, Kazuhito",JOURNAL OF NEUROIMMUNOLOGY,DEC 15 2010,2010,229,1-2,129,139,,10.1016/j.jneuroim.2010.07.024,,,14,1,0,0,2,1,0,0,2,0,2,2,2,1,0,2,0,1,0.6
High-throughput screening of brief naturalistic stress-responsive cytokines in university students taking examinations,"Katsuura, Sakurako; Kamezaki, Yoshiko; Tominaga, Kumiko; Masuda, Kiyoshi; Nishida, Kensei; Yamamoto, Yuta; Takeo, Keiko; Yamagishi, Naoko; Tanahashi, Toshihito; Kawai, Tomoko; Rokutan, Kazuhito",INTERNATIONAL JOURNAL OF PSYCHOPHYSIOLOGY,AUG 2010,2010,77,2,135,140,,10.1016/j.ijpsycho.2010.05.004,,,12,0.86,0,0,1,3,0,0,1,1,4,0,0,0,0,2,0,1.333333333,0.8
Molecular Cloning and Expression Analysis of Fshr and Lhr in Relation to Fshb and Lhb Subunits During the Period of Temperature-Dependent Sex Determination in Pejerrey Odontesthes bonariensis,"Shinoda, Takahiro; Miranda, Leandro A.; Okuma, Kozue; Hattori, Ricardo S.; Fernandino, Juan I.; Yoshizaki, Goro; Somoza, Gustavo M.; Strussmann, Carlos A.",MOLECULAR REPRODUCTION AND DEVELOPMENT,JUN 2010,2010,77,6,521,532,,10.1002/mrd.21179,,,12,0.86,0,1,0,0,2,2,0,0,3,0,1,2,1,0,0,0.333333333,1
